j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;236;Colegiul Tehnic ”Dimitrie Leonida”;4061102721;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.52;4.22
B;237;Colegiul Tehnic ”Dimitrie Leonida”;4061102721;URBAN;Protectia mediului;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.80;6.59
B;250;Colegiul Economic ”A.D.Xenopol”;4061102567;URBAN;Economic;Limba romana;-;144;144;Zi;Servicii;Tehnologica;Liceal;8.47;8.50
B;251;Colegiul Economic ”A.D.Xenopol”;4061102567;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;8.40;8.45
B;252;Colegiul Economic ”Hermes”;4061101349;URBAN;Economic;Limba romana;-;144;144;Zi;Servicii;Tehnologica;Liceal;7.90;7.84
B;253;Colegiul Economic ”Hermes”;4061101349;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;7.82;7.71
B;254;Colegiul Economic ”Hermes”;4061101349;URBAN;Comert;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;7.77;7.63
B;232;Colegiul Tehnic ”Edmond Nicolau”;4061100954;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.62;5.12
B;233;Colegiul Tehnic ”Edmond Nicolau”;4061100954;URBAN;Electronica automatizari;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.35;4.13
B;296;"Liceul Tehnologic ""Dragomir Hurmuzescu""";4061101896;URBAN;Comert;Limba romana;-;24;24;Zi;Servicii;Tehnologica;Liceal;5.82;6.00
B;297;"Liceul Tehnologic ""Dragomir Hurmuzescu""";4061101896;URBAN;Economic;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;6.62;6.78
B;298;"Liceul Tehnologic ""Dragomir Hurmuzescu""";4061101896;URBAN;Estetica Si igiena corpului omenesc;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.12;6.14
B;299;"Liceul Tehnologic ""Dragomir Hurmuzescu""";4061101896;URBAN;Electromecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.40;4.46
B;316;"Colegiul National ""Octav Onicescu""";4061102169;URBAN;Matematica-Informatica;Limba romana;-;104;104;Zi;Real;Teoretica;Liceal;8.65;8.63
B;317;"Colegiul National ""Octav Onicescu""";4061102169;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.57;8.62
B;318;"Colegiul National ""Octav Onicescu""";4061102169;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.65;8.69
B;320;"Liceul Teologic Adventist ""Stefan Demetrescu""";4061103966;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.82;8.81
B;321;"Liceul Teologic Adventist ""Stefan Demetrescu""";4061103966;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.32;8.26
B;330;"Liceul Tehnologic ""Mircea Vulcanescu""";4061100687;URBAN;Economic;Limba romana;-;168;168;Zi;Servicii;Tehnologica;Liceal;6.47;6.67
B;331;"Liceul Tehnologic ""Mircea Vulcanescu""";4061100687;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;6.40;6.63
B;322;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;7.65;7.33
B;323;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;7.40;7.36
