j;lc;l;t;a;p;f;m;sp
B;242;Şcoala Gimnazială nr. 279;72;Unitate de învăţământ;URBAN;Ghencea 24 061709;217773164;217773164
B;243;Şcoala Gimnazială nr. 280;110;Unitate de învăţământ;URBAN;Donici Gheorghe, serg. 4A 051812;214234068;214234068
B;244;Şcoala Gimnazială nr. 309;48;Unitate de învăţământ;URBAN;Moineşti 9 061238;214340426;214340426
B;245;Şcoala Gimnazială nr. 311;40;Unitate de învăţământ;URBAN;Gârleni 10 061654;214133440;214133440
B;246;Şcoala Gimnazială nr. 5;44;Unitate de învăţământ;URBAN;Victoriei 114 010092;213169918;213169236
B;247;Şcoala Gimnazială nr. 59;60;Unitate de învăţământ;URBAN;Vlădeasa 9 061672;214900160;214900160
B;248;Şcoala Gimnazială nr. 6;24;Unitate de învăţământ;URBAN;Dobrogeanu-Gherea Constantin 74 013766;212332730;212332730
B;249;Şcoala Gimnazială nr. 7;62;Unitate de învăţământ;URBAN;Neagoe Vodă 11 013961;212321531;212321531
B;250;Şcoala Gimnazială nr. 84;83;Unitate de învăţământ;URBAN;Vitan 135 031284;213216391;213216391
B;251;Şcoala Gimnazială nr. 96;41;Unitate de învăţământ;URBAN;Rezonanţei 2 041539;214610108;214610108
B;253;Şcoala Gimnazială „Liberă Waldorf”;10;Unitate de învăţământ;URBAN;Berthelot Henri Mathias, g-ral. 25 010164;746030232;722484206
B;254;Școala Gimnazială Alexandru Ioan Cuza;66;Unitate de învăţământ;URBAN;Grigorescu Nicolae, pictor 14 030452;213243970;213243970
B;255;Școala Gimnazială Avram Iancu;77;Unitate de învăţământ;URBAN;Stupilor 1 041694;214610840;214610840
B;256;Școala Gimnazială Barbu Delavrancea;16;Unitate de învăţământ;URBAN;Basarab Matei 28-30 030674;213237390;213237390
B;257;Școala Gimnazială Copil Dorit;4;Unitate de învăţământ;URBAN;Viilor 33 050157;212504058;212504058
B;258;Școala Gimnazială Federico Garcia Lorca;72;Unitate de învăţământ;URBAN;Cozla 1 032732;213403710;213403710
B;259;Școala Gimnazială Ionel Teodoreanu;95;Unitate de învăţământ;URBAN;Coştila  2 040935;214503990;214503990
B;260;Școala Gimnazială Leonardo Da Vinci;117;Unitate de învăţământ;URBAN;Petraşcu Gheorghe 55 031593;213248676;314050147
B;261;Școala Gimnazială Liviu Rebreanu;73;Unitate de învăţământ;URBAN;Barajul Rovinari 1 032775;213401845;213401845
B;262;Școala Gimnazială Maria Rosetti;64;Unitate de învăţământ;URBAN;Garibaldi Giuseppe 3 020221;212305089;212305276
B;263;Școala Gimnazială Mexic;32;Unitate de învăţământ;URBAN;1 Decembrie 1918 34 032465;213401124;213401124
B;264;Școala Gimnazială Mihai Botez;41;Unitate de învăţământ;URBAN;Râmnicu Vâlcea 32 031812;213462361;213462361
B;265;Școala Gimnazială Nicolae Labiș;97;Unitate de învăţământ;URBAN;Firidei 2 032174;213486271;213486271
B;266;Școala Gimnazială Planeta Copiilor;15;Unitate de învăţământ;URBAN;Szabo Gabriela, atletă 3-11  062293;724212970;214330263
B;267;Școala Gimnazială Voievod Neagoe Basarab;21;Unitate de învăţământ;URBAN;Brâncuşi Constantin, sculptor 7 030423;213403313;213403313
B;268;Școala Gimnazială Șerban-Vodă;44;Unitate de învăţământ;URBAN;Ţuţea Petre 3 040761;214503450;214503450
B;269;Școala Gimnazială Cezar Bolliac;78;Unitate de învăţământ;URBAN;Țiglina 37 031561;314040172;314040172
B;272;Școala Gimnazială Metropolitană Arc;11;Unitate de învăţământ;URBAN;ESARFEI 63-71 031868;314254343;314254343
B;277;Școala Gimnazială nr. 112;55;Unitate de învăţământ;URBAN;Pătulului 2 032377;213483331;213483331
B;278;Școala Gimnazială nr. 116;36;Unitate de învăţământ;URBAN;Gura Ialomiţei 20 032595;213450102;213450102
B;279;Școala Gimnazială nr. 149;66;Unitate de învăţământ;URBAN;Perişoru 4 032552;213451985;213451985
B;280;Școala Gimnazială nr. 165;67;Unitate de învăţământ;URBAN;Slătioara 8 040969;214503517;214503517
B;281;Școala Gimnazială nr. 189;56;Unitate de învăţământ;URBAN;Ciceu 12 041789;214610040;214610040
B;282;Școala Gimnazială nr. 195;178;Unitate de învăţământ;URBAN;Lunca Bradului 2 032713;318058603;318058603
B;283;Școala Gimnazială nr. 20;60;Unitate de învăţământ;URBAN;Prevederii 19 032296;213452485;213452485
B;284;Școala Gimnazială nr. 200;25;Unitate de învăţământ;URBAN;Postăvarul 13 032422;213453119;213453119
B;285;Școala Gimnazială nr. 24;37;Unitate de învăţământ;URBAN;Tunari 52 020528;212107185;212101381
B;286;Școala Gimnazială nr. 25;7;Unitate de învăţământ;URBAN;Silvia 54 023436;212422695;212422695
B;287;Școala Gimnazială nr. 27;76;Unitate de învăţământ;URBAN;Maşina de Pâine 65 021127;212421645;212421645
B;288;Școala Gimnazială nr. 28;57;Unitate de învăţământ;URBAN;Aleea Circului 1 021103;212105910;212105910
B;289;Școala Gimnazială nr. 308;29;Unitate de învăţământ;URBAN;Râul Şoimului  8 040847;214503162;214503162
B;290;Școala Gimnazială nr. 31;44;Unitate de învăţământ;URBAN;Lacul Tei 116 020395;212421712;212421712
B;291;Școala Gimnazială nr. 32;62;Unitate de învăţământ;URBAN;Sportului 21 022981;216556240;216556240
B;292;Școala Gimnazială nr. 39;112;Unitate de învăţământ;URBAN;Colentina 91 021167;212403025;212403025
B;293;Școala Gimnazială nr. 4;54;Unitate de învăţământ;URBAN;Herţa 14A 022174;212556425;212556425
B;294;Școala Gimnazială nr. 40;49;Unitate de învăţământ;URBAN;Periş 27 022715;212406545;212406545
B;295;Școala Gimnazială nr. 41;38;Unitate de învăţământ;URBAN;Apostol Nicolae 2 023144;212402845;212402845
B;296;Școala Gimnazială nr. 46;64;Unitate de învăţământ;URBAN;Stănescu Gheorghe, slt. 2-18 021736;212502527;212502527
B;297;Școala Gimnazială nr. 47;12;Unitate de învăţământ;URBAN;Gara Căţelu 130 032995;212561512;212564666
B;298;Școala Gimnazială nr. 49;98;Unitate de învăţământ;URBAN;Vatra Luminoasă 99 021914;212502444;212505931
B;299;Școala Gimnazială nr. 51;49;Unitate de învăţământ;URBAN;Herţa 1 022171;212554060;212554060
