j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;330;"Liceul Teoretic ""Dimitrie Bolintineanu""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;8.55
B;331;"Liceul Teoretic ""Stefan Odobleja""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;8.83
B;332;"Liceul Teoretic ""Stefan Odobleja""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;8.89
B;333;"Liceul Teoretic ""Stefan Odobleja""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;8.80
B;334;"Liceul Teoretic ""Stefan Odobleja""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;8.85
B;335;Colegiul Tehnic Energetic;URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;-
B;336;Colegiul Tehnic Energetic;URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;7.44
B;337;Colegiul Tehnic Energetic;URBAN;Turism Si alimentatie;Limba româna;-;24;THN;SRV;Zi;Liceal;6.62
B;338;Colegiul Tehnic Energetic;URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;5.81
B;339;Colegiul Tehnic Energetic;URBAN;Electromecanica;Limba româna;-;12;THN;TEH;Zi;Liceal;-
B;340;Colegiul Tehnic Energetic;URBAN;Mecanica;Limba româna;-;12;THN;TEH;Zi;Liceal;5.07
B;341;"Colegiul Tehnic de Industrie Alimentara ""Dumitru Motoc""";URBAN;Industrie alimentara;Limba româna;-;120;THN;RES;Zi;Liceal;5.18
B;342;"Liceul Tehnologic ""Dimitrie Gusti""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;-
B;343;"Liceul Tehnologic ""Dimitrie Gusti""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;7.93
B;344;"Liceul Tehnologic ""Dimitrie Gusti""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;4.89
B;345;"Colegiul Tehnologic ""Grigore Cerchez""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.56
B;346;"Colegiul Tehnologic ""Grigore Cerchez""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;7.73
B;347;"Colegiul Tehnologic ""Grigore Cerchez""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;6.00
B;348;"Colegiul Tehnologic ""Grigore Cerchez""";URBAN;Economic;Limba româna;-;24;THN;SRV;Zi;Liceal;6.81
B;349;"Colegiul Tehnologic ""Grigore Cerchez""";URBAN;Turism Si alimentatie;Limba româna;-;96;THN;SRV;Zi;Liceal;6.09
B;350;"Colegiul Economic ""Viilor""";URBAN;Turism Si alimentatie;Limba româna;-;192;THN;SRV;Zi;Liceal;7.08
B;351;"Colegiul Economic ""Viilor""";URBAN;Economic;Limba româna;-;96;THN;SRV;Zi;Liceal;7.42
B;352;"Colegiul Economic ""Viilor""";URBAN;Comert;Limba româna;-;48;THN;SRV;Zi;Liceal;7.00
B;353;"Colegiul National ""Elena Cuza""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.33
B;354;"Colegiul National ""Elena Cuza""";URBAN;Filologie;Limba româna;Limba engleza;26;TER;UMA;Zi;Liceal;9.15
B;355;"Colegiul National ""Elena Cuza""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.11
B;356;"Colegiul National ""Grigore Moisil""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.63
B;357;"Colegiul National ""Grigore Moisil""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.60
B;358;"Colegiul National ""Grigore Moisil""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.40
B;359;"Colegiul National ""Grigore Moisil""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.51
B;360;"Liceul Teoretic ""Marin Preda""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.56
B;361;"Liceul Teoretic ""Marin Preda""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;8.49
B;362;"Liceul Teoretic ""Marin Preda""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;8.41
B;363;"Liceul Teoretic ""Marin Preda""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;8.39
B;364;"Liceul Teoretic ""Tudor Vladimirescu""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.00
B;365;"Liceul Teoretic ""Tudor Vladimirescu""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;8.90
B;366;"Liceul Teoretic ""Tudor Vladimirescu""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;8.89
B;367;"Liceul Teoretic ""Tudor Vladimirescu""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;8.84
B;368;"Liceul Teoretic ""Eugen Lovinescu""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;8.70
B;369;"Liceul Teoretic ""Eugen Lovinescu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.75
B;370;"Liceul Teoretic ""Eugen Lovinescu""";URBAN;Filologie;Limba româna;Limba portugheza;26;TER;UMA;Zi;Liceal;8.56
B;371;"Liceul Tehnologic ""Sf. Antim Ivireanu""";URBAN;Comert;Limba româna;-;24;THN;SRV;Zi;Liceal;7.94
B;372;"Liceul Tehnologic ""Sf. Antim Ivireanu""";URBAN;Turism Si alimentatie;Limba româna;-;24;THN;SRV;Zi;Liceal;7.97
B;373;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.75
B;374;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;7.84
B;375;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Electronica automatizari;Limba româna;-;24;THN;TEH;Zi;Liceal;6.30
B;376;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Economic;Limba româna;-;48;THN;SRV;Zi;Liceal;6.65
B;377;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Turism Si alimentatie;Limba româna;-;48;THN;SRV;Zi;Liceal;6.79
B;378;"Colegiul Tehnic ""Petru Maior""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.34
B;379;"Colegiul Tehnic ""Petru Maior""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;8.27
B;380;"Colegiul Tehnic ""Petru Maior""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;8.23
B;381;"Colegiul Tehnic ""Petru Maior""";URBAN;Protectia mediului;Limba româna;-;24;THN;RES;Zi;Liceal;-
B;382;"Colegiul Tehnic ""Petru Maior""";URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;6.93
B;383;"Colegiul Tehnic ""Petru Maior""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;5.83
B;384;"Liceul Tehnologic ""Petru Poni""";URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;-
B;385;"Liceul Tehnologic ""Petru Poni""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;5.11
B;386;"Liceul Tehnologic ""Petru Poni""";URBAN;Economic;Limba româna;-;48;THN;SRV;Zi;Liceal;6.29
B;387;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.30
B;388;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;7.55
B;389;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;-
